model,target,module,perturbation,intervention,n_genes_perturbed,genes,mean_delta_model_scale,mean_delta_raw_scale,median_delta_raw_scale,abs_mean_delta_raw_scale,n_donors,n_cells,source_file,target_short,effect_direction
upgrade_fine_08,percent Iba1 positive area_Grey matter,homeostatic_microglia,P2RY12,global_mean,1,P2RY12,0.0015469775535166,0.006284225732088,0.0051479339599609,0.006284225732088,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,1,CSF1R,0.0012596497545018,0.0051885871216654,0.0030984878540039,0.0051885871216654,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,at8_associated_first_pass,PTPRG,global_mean,1,PTPRG,0.0011776621686294,0.0049901148304343,0.0042765140533447,0.0049901148304343,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,chemokine_migration;homeostatic_microglia;synapse_pruning,CX3CR1,global_mean,1,CX3CR1,0.0010159029625356,0.0041510006412863,0.0036426782608032,0.0041510006412863,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,lipid_metabolism,PLCG2,global_mean,1,PLCG2,0.001009410363622,0.0041036093607544,0.0044969320297241,0.0041036093607544,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,unannotated,ROCK1,global_mean,1,ROCK1,0.0009294201736338,0.0037673229817301,0.003617525100708,0.0037673229817301,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,unannotated,CD4,global_mean,1,CD4,0.0005601219017989,0.0022240281105041,0.0017879009246826,0.0022240281105041,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,at8_associated_first_pass;disease_associated_microglia;lysosome_phagocytosis;plaque_response,CTSD,global_mean,1,CTSD,-0.0003585304657462,-0.001684563467279,-0.0012164115905761,0.001684563467279,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,down
upgrade_fine_08,percent Iba1 positive area_Grey matter,vascular_barrier_myeloid,F13A1,global_mean,1,F13A1,-0.0003274551418144,-0.0014567857142537,-0.0009374618530273,0.0014567857142537,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,down
upgrade_fine_08,percent Iba1 positive area_Grey matter,homeostatic_microglia,P2RY13,global_mean,1,P2RY13,-0.0002289861440658,-0.0010649107862263,-0.0011477470397949,0.0010649107862263,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,down
upgrade_fine_08,percent Iba1 positive area_Grey matter,at8_associated_first_pass,CHI3L1,global_mean,1,CHI3L1,-0.0001698483974905,-0.000731544860173,-0.0008976459503173,0.000731544860173,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,down
