gene,module,mean_donor_delta,bootstrap_ci_low,bootstrap_ci_high,adjusted_slope,partial_spearman,model_implied_at8_reducing_knockout,confounder_adjusted_abs_partial_spearman,at8_pseudobulk_score,is_hpa_fda_drug_target,is_hpa_predicted_secreted,is_hpa_predicted_membrane,biology_score,translational_bonus,translational_priority_score,translational_category
IVNS1ABP,,,,,,,,,0.14965732,0,0,0,0.04229019913610287,0.0,0.04229019913610287,biology_first_hard_target
TANC1,,,,,,,,,-0.14953156,0,0,0,0.04225465674914156,0.0,0.04225465674914156,biology_first_hard_target
PIK3C3,,,,,,,,,0.14952774,0,0,0,0.04225357713783278,0.0,0.04225357713783278,biology_first_hard_target
TCF7L2,,,,,,,,,-0.14933522,0,0,0,0.04219916698883635,0.0,0.04219916698883635,biology_first_hard_target
CERT1,,,,,,,,,0.1493307,0,0,0,0.042197889542994554,0.0,0.042197889542994554,biology_first_hard_target
RBM25,,,,,,,,,-0.14918177,0,0,0,0.0421557988329902,0.0,0.0421557988329902,biology_first_hard_target
PHYKPL,,,,,,,,,-0.14914997,0,0,0,0.04214681149277574,0.0,0.04214681149277574,biology_first_hard_target
PSMF1,,,,,,,,,0.14861639,0,0,0,0.041996010706875496,0.0,0.041996010706875496,biology_first_hard_target
RIMS2,,,,,,,,,-0.14858791,0,0,0,0.04198796166758909,0.0,0.04198796166758909,biology_first_hard_target
EP400,,,,,,,,,-0.14848526,0,0,0,0.04195895064642515,0.0,0.04195895064642515,biology_first_hard_target
SAMD9L,,,,,,,,,-0.14819932,0,0,0,0.04187813806589305,0.0,0.04187813806589305,biology_first_hard_target
HNRNPU,,,,,,,,,0.14804402,0,0,0,0.041834247061638186,0.0,0.041834247061638186,biology_first_hard_target
DTNBP1,,,,,,,,,0.14783841,0,0,0,0.04177613740687424,0.0,0.04177613740687424,biology_first_hard_target
USP47,,,,,,,,,0.14767592,0,0,0,0.04173021435934447,0.0,0.04173021435934447,biology_first_hard_target
