dataset,module,graph_variant,alpha,metric,target,spearman,n_donors,n_graph_genes_present,seed_mass_present
MTG,dam_lipid_trem2_apoe,uncapped,1.0,fraction_high_global_q95,6e10/A_beta,0.28100780099479733,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,fraction_high_global_q95,GFAP,0.14080257569571775,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,fraction_high_global_q95,Iba1,0.17332273627202074,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,fraction_high_global_q95,NeuN,-0.1992112949873404,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,variance,AT8,0.23171003341095475,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,variance,6e10/A_beta,0.19129290270324997,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,variance,GFAP,0.3014073099119166,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,variance,Iba1,0.10152880429280145,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,variance,NeuN,-0.5042826769261922,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,mean,AT8,0.4441429583881745,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,mean,6e10/A_beta,0.3862103877695657,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,mean,GFAP,0.29130302723499035,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,mean,Iba1,0.22863217576187103,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,mean,NeuN,-0.10272349903816949,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,q95,AT8,0.44790928419560594,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,q95,6e10/A_beta,0.3884377847524552,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,q95,GFAP,0.3673585096689278,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,q95,Iba1,0.17566062569606158,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,q95,NeuN,-0.16397691606763187,84,8,1.0
