model,target,module,perturbation,intervention,Donor ID,prediction_model_scale_baseline,prediction_raw_scale_baseline,prediction_model_scale_perturbed,prediction_raw_scale_perturbed,delta_model_scale,delta_raw_scale
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.022,1.662,4.26984,1.6632216,4.2762814,0.0012216568,0.006441593
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.023,1.7382264,4.6872478,1.7400036,4.697364,0.0017771721,0.0101161
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.025,1.6713896,4.319555,1.6718103,4.321793,0.00042068958,0.0022382736
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.026,1.8087207,5.1026354,1.8155156,5.1442437,0.0067949295,0.041608334
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.027,1.6653641,4.287598,1.6728717,4.3274446,0.0075075626,0.03984642
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.028,1.6489484,4.201507,1.6503092,4.20859,0.001360774,0.007082939
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.029,1.629557,4.1016145,1.6319441,4.1138067,0.0023870468,0.012192249
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.030,1.9654244,6.1379414,1.9670501,6.1495547,0.0016256571,0.011613369
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.031,2.224278,8.246804,2.2291112,8.291604,0.0048332214,0.044799805
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.032,1.9696994,6.1685214,1.9720794,6.1856027,0.0023800135,0.01708126
