source,target,source_idx,target_idx,in_string,in_wgcna,string_score,wgcna_tom,support
RPL21,RPL28,2057,2717,True,True,999.0,0.3459596,both
CPSF6,PCF11,1978,1850,True,True,962.0,0.34592238,both
PABPC1,PPP2CA,1479,1002,True,True,716.0,0.34589967,both
NFKB1,PPP2R2D,846,1762,True,True,907.0,0.34585685,both
KHDRBS1,YTHDC1,56,810,True,True,886.0,0.34581977,both
HNRNPR,TAF15,37,2489,True,True,775.0,0.34567302,both
RPL19,RPLP2,2498,1763,True,True,999.0,0.3456438,both
CANX,HLA-A,1053,1091,True,True,736.0,0.34557876,both
ATRN,MGRN1,2724,2353,True,True,992.0,0.34540677,both
RPL3,RPL34,2854,852,True,True,999.0,0.3453761,both
JUN,NCOA6,101,2758,True,True,702.0,0.34536386,both
PABPC1,PCBP2,1479,1954,True,True,922.0,0.34535566,both
RPL28,RPL7A,2717,1624,True,True,999.0,0.34530756,both
NFE2L2,RPS27A,470,345,True,True,723.0,0.3450806,both
MAPK1,NFATC3,2835,2407,True,True,930.0,0.34502664,both
APC,CDC42,983,31,True,True,864.0,0.34496376,both
HELZ,PHF3,2545,1143,True,True,787.0,0.3449231,both
SMAD4,ZFYVE16,2615,959,True,True,816.0,0.34492302,both
DYNC1I2,PAFAH1B1,461,2440,True,True,972.0,0.34462836,both
HNRNPD,RBMX,821,2934,True,True,844.0,0.34431306,both
MAPK1,MAPK8,2835,1668,True,True,747.0,0.3443119,both
FCHO2,FNBP1,946,1615,True,True,846.0,0.34425113,both
RPS27A,UBR1,345,2268,True,True,762.0,0.34421206,both
ISG15,RPS12,0,1202,True,True,756.0,0.34419748,both
EIF3A,RPS15,1748,2641,True,True,974.0,0.34392413,both
EIF3A,RPS24,1748,1696,True,True,981.0,0.34383923,both
MAPK1,ROCK1,2835,2589,True,True,922.0,0.34349304,both
