"study","assay_object","donor","target_gene","target_gene_measured","n_guides","n_cells","n_nt_guides","n_nt_cells","target_log2fc_mean","target_log2fc_sd","target_log2fc_se"
"GSE301119","CRISPRi","D1","SUCNR1",TRUE,5,77,98,1425,-1.47086321740078,1.10621708992995,0.494715322191074
"GSE301119","CRISPRi","D1","SYK",TRUE,3,7,98,1425,-0.521872311153536,0.383125804023081,0.221197786086218
"GSE301119","CRISPRi","D1","TARDBP",TRUE,5,115,98,1425,-0.59532051107691,0.704264308521106,0.314956573596015
"GSE301119","CRISPRi","D1","TGFB1",TRUE,5,69,98,1425,-2.65791530720086,2.42747467962251,1.08559967945909
"GSE301119","CRISPRi","D1","TGFBI",TRUE,5,166,98,1425,-1.07798999638064,0.233889439700473,0.104598537277919
"GSE301119","CRISPRi","D1","TGFBR1",TRUE,5,107,98,1425,-2.84069543105613,2.15255611681273,0.962652360515248
"GSE301119","CRISPRi","D1","TGFBR2",TRUE,5,82,98,1425,-0.214074550190585,0.970933889877665,0.434214835884951
"GSE301119","CRISPRi","D1","TGFBR3",TRUE,5,58,98,1425,-0.104524373670571,0,0
"GSE301119","CRISPRi","D1","TLR10",TRUE,5,112,98,1425,0.165075092229899,1.1261808202586,0.503643373810939
"GSE301119","CRISPRi","D1","TLR2",TRUE,5,102,98,1425,-0.892628101255274,1.41036662161069,0.630735127823647
"GSE301119","CRISPRi","D1","TLR4",TRUE,5,160,98,1425,-1.15403433152088,1.25662454770579,0.561979582173015
"GSE301119","CRISPRi","D1","TLR5",TRUE,5,88,98,1425,-1.50555687881782,1.76064061557584,0.787382420074929
"GSE301119","CRISPRi","D1","TLR7",TRUE,5,54,98,1425,-0.246797142268432,1.25074138937752,0.559348553784132
"GSE301119","CRISPRi","D1","TMEM106A",TRUE,5,75,98,1425,-4.1983393932046,3.36893613538383,1.50663404211473
"GSE301119","CRISPRi","D1","TMEM106B",TRUE,5,72,98,1425,-1.48789947872288,1.57219021950473,0.703104840874579
"GSE301119","CRISPRi","D1","TNFRSF10B",TRUE,5,60,98,1425,-2.37772561562454,2.24917765750567,1.00586282713128
"GSE301119","CRISPRi","D1","TNFRSF13C",TRUE,5,92,98,1425,0,0,0
"GSE301119","CRISPRi","D1","TNFRSF1A",TRUE,5,36,98,1425,-2.35426495437623,3.84751934759998,1.72066296119584
"GSE301119","CRISPRi","D1","TREM1",TRUE,5,59,98,1425,-1.324879409135,0,0
"GSE301119","CRISPRi","D1","TREM2",TRUE,5,44,98,1425,-2.89620209955635,2.74068274421577,1.22567058416543
"GSE301119","CRISPRi","D1","TREML2",TRUE,4,49,98,1425,-0.0882159202364804,0,0
"GSE301119","CRISPRi","D1","TREML4",TRUE,4,54,98,1425,0,0,0
"GSE301119","CRISPRi","D1","TYRO3",TRUE,5,73,98,1425,-0.0434940112383105,0,0
"GSE301119","CRISPRi","D1","TYROBP",TRUE,5,97,98,1425,-1.63221832171783,0.358147734783107,0.160168536192518
"GSE301119","CRISPRi","D1","UNC13D",TRUE,4,56,98,1425,-2.65836883085322,2.64399475083127,1.32199737541564
"GSE301119","CRISPRi","D1","VCP",TRUE,5,115,98,1425,-1.26608838755408,0.473625437194425,0.211811734687958
"GSE301119","CRISPRi","D1","VDR",TRUE,5,100,98,1425,-1.3056584494926,1.56367091662001,0.699294892800349
"GSE301119","CRISPRi","D1","VENTX",TRUE,5,46,98,1425,-0.303566434226394,0,0
"GSE301119","CRISPRi","D1","VLDLR",TRUE,5,117,98,1425,-0.361796642746703,0,0
"GSE301119","CRISPRi","D2","ABCA1",TRUE,5,30,90,759,0.23290610898837,0.453600422839059,0.202856276018157
"GSE301119","CRISPRi","D2","ABCA7",TRUE,5,28,90,759,-1.39064118720915,3.25141748581549,1.45407810430298
"GSE301119","CRISPRi","D2","ABI3",TRUE,4,28,90,759,-0.00761999847009798,1.05412585019068,0.527062925095342
"GSE301119","CRISPRi","D2","ACTB",TRUE,5,60,90,759,-0.10797952805716,0.331163608773917,0.148100868178525
"GSE301119","CRISPRi","D2","ADA2",TRUE,5,94,90,759,-2.1406801574156,2.83456233908943,1.26765481533295
"GSE301119","CRISPRi","D2","ADAM10",TRUE,5,54,90,759,0.0946568279161108,0.917557371422103,0.410344131151169
"GSE301119","CRISPRi","D2","ADGRG1",TRUE,5,38,90,759,0,0,0
"GSE301119","CRISPRi","D2","AIF1",TRUE,5,40,90,759,-2.59289019966118,1.26845438935876,0.567270048192835
"GSE301119","CRISPRi","D2","APOC1",TRUE,5,41,90,759,-2.0597915056951,1.44523677542912,0.646329534688423
"GSE301119","CRISPRi","D2","APOE",TRUE,4,56,90,759,-0.578770215954385,0.289830409427452,0.144915204713726
"GSE301119","CRISPRi","D2","APP",TRUE,5,40,90,759,-0.215352702290007,1.31287075479751,0.587133650679737
"GSE301119","CRISPRi","D2","AXL",TRUE,5,63,90,759,-1.24527324167735,2.35948834413325,1.05519526592007
"GSE301119","CRISPRi","D2","BIN1",TRUE,5,41,90,759,-1.18284452053871,1.90423790135903,0.851601078554064
"GSE301119","CRISPRi","D2","C1QA",TRUE,5,30,90,759,-1.2945342130255,0.502707392833723,0.224817580633579
"GSE301119","CRISPRi","D2","C1QB",TRUE,5,89,90,759,-0.886899307101942,1.08332764394391,0.484478850752655
"GSE301119","CRISPRi","D2","C1QC",TRUE,5,33,90,759,-0.740899783951718,1.03303840509991,0.461988819434274
