cell,changed_direction_std,changed_direction_variance,delta_cosine,predicted_effect_norm,true_effect_norm
194,0.4535519480705261,0.20570936799049377,0.36868202893453383,1.8836833238601685,1.0269085582620303
195,0.5091633200645447,0.2592473030090332,0.5257331159384857,1.1388344764709473,1.3319708504769159
196,0.468217670917511,0.21922779083251953,0.26157951279847225,2.084264039993286,1.283178219682098
197,0.4897143840789795,0.2398201823234558,0.6252942718537283,1.657802939414978,1.3267038473548196
198,0.49063900113105774,0.24072661995887756,0.5064943246963894,1.130806803703308,1.1471220214230298
199,0.5095720887184143,0.2596637010574341,0.5073715319283956,1.8511077165603638,1.595304790213615
200,0.5099921822547913,0.2600920498371124,0.45021292437351274,1.6685829162597656,1.3466698992394777
201,0.5025383830070496,0.2525448501110077,0.2578287971399138,1.5042625665664673,1.2975152798885246
202,0.5419158935546875,0.2936728298664093,0.6927472082987722,1.2708406448364258,1.4695525992992553
203,0.6763057708740234,0.4573895335197449,0.5385247699690551,1.3861658573150635,1.2734640747078276
204,0.438754677772522,0.19250567257404327,0.2649273794705808,1.7989625930786133,1.0233143474568598
205,0.44840577244758606,0.2010677456855774,0.16578220441266417,1.834491491317749,1.010754201659431
206,0.4523082375526428,0.20458275079727173,0.319443558397361,2.2131776809692383,1.0158850804141137
207,0.513592541217804,0.26377731561660767,0.2737568676317433,1.2966978549957275,1.1601243993583226
208,0.4806045591831207,0.2309807538986206,0.43748230520708575,1.7767939567565918,1.4498539593955895
209,0.48739731311798096,0.23755612969398499,0.5319039156523231,1.6113353967666626,1.285036763517241
210,0.4876154959201813,0.23776887357234955,0.559878901042111,1.210323691368103,1.1788896247795335
211,0.5156883597373962,0.26593446731567383,0.4467252800687306,1.4222702980041504,1.4621651954522723
212,0.5065070986747742,0.2565494179725647,0.297488602069436,1.8428841829299927,1.2782504845348261
213,0.5184550285339355,0.26879560947418213,0.5569559664764583,1.1103309392929077,1.2280202548031542
214,0.556304395198822,0.30947455763816833,0.6647992409962911,0.9373078942298889,1.435720816756068
215,0.6653676629066467,0.4427141547203064,0.4481327756389277,1.2842655181884766,1.3341127514731284
216,0.44864776730537415,0.20128481090068817,0.3118836337394227,1.3794424533843994,1.0573684288013476
217,0.4474655091762543,0.20022538304328918,0.29338007509598085,1.6787337064743042,0.9748149738379196
218,0.47052356600761414,0.2213924378156662,0.48786795967876134,1.549763798713684,1.1218942060845825
219,0.5158416628837585,0.2660926282405853,0.24096787337244777,1.4338929653167725,1.155864643347977
220,0.46916478872299194,0.22011560201644897,0.19902458878873455,1.654799222946167,1.2593064717873097
221,0.48655590415000916,0.23673664033412933,0.3626728996564218,2.1183106899261475,1.2776238342193214
222,0.4904703199863434,0.2405611276626587,0.256237145742025,2.1105165481567383,1.1061617058175617
223,0.5190240144729614,0.2693859040737152,0.47117264746842114,1.2820374965667725,1.4307028840540295
224,0.5009952783584595,0.25099626183509827,0.5117808585384525,1.0792738199234009,1.2784945826501315
225,0.5216820240020752,0.2721521258354187,0.4874563729095087,1.7516881227493286,1.1882636451865731
226,0.5471469759941101,0.29936981201171875,0.5772318898210865,1.1916440725326538,1.3903010863051757
227,0.6532175540924072,0.4266931414604187,0.5148114259002058,1.315720558166504,1.3430574332388194
228,0.4495794177055359,0.20212166011333466,0.3309459465102278,1.4418054819107056,1.0439273832574216
229,0.44826290011405945,0.2009396255016327,0.35193778665804076,1.978717565536499,1.024673065102988
230,0.45649248361587524,0.2083853930234909,0.368538424468866,1.8588893413543701,1.0182987223361555
231,0.5133426785469055,0.2635207176208496,0.4936091965865522,1.0937436819076538,1.1771220898180357
232,0.4667479395866394,0.21785365045070648,0.26012494508563294,1.7176889181137085,1.2373712458419985
233,0.4876524806022644,0.23780493438243866,0.6066938890617972,1.652349829673767,1.3317832107586023
234,0.4882986545562744,0.23843558132648468,0.39337527371782943,1.6069462299346924,1.1157872114189384
235,0.519763708114624,0.27015429735183716,0.45211591420681246,1.714410424232483,1.4147778500308925
236,0.5027028322219849,0.25271016359329224,0.40118323434227054,1.4243732690811157,1.2824219322422838
237,0.5087208151817322,0.2587968409061432,0.513683793489951,1.5442123413085938,1.2392023910065197
238,0.5525361895561218,0.30529624223709106,0.5358486301423799,1.5202080011367798,1.4373015290628595
239,0.6602115035057068,0.4358792304992676,0.5725304916749611,1.157226800918579,1.3106842638620702
240,0.44444528222084045,0.19753161072731018,0.21601109673449131,1.9154592752456665,1.0314711395763114
241,0.45003682374954224,0.20253315567970276,0.3841143580998307,2.2052674293518066,1.0883239065527728
242,0.45852982997894287,0.2102496176958084,0.26775594452379364,1.710825800895691,1.0302943947037242
243,0.5210533738136292,0.27149659395217896,0.37100934764280535,1.386266827583313,1.158326498378105
244,0.4758926033973694,0.22647376358509064,0.4388054738595818,1.423821210861206,1.3083845760370536
245,0.4923396408557892,0.24239833652973175,0.4907100897674025,1.9027019739151,1.3367046759629837
246,0.49000975489616394,0.24010954797267914,0.4075273799914364,1.730363368988037,1.1818601494670313
247,0.5161806344985962,0.2664424777030945,0.5099229073599507,1.51156485080719,1.4616388435264092
248,0.503402054309845,0.2534136474132538,0.2825625987762965,1.5238908529281616,1.274167947558753
249,0.5090937614440918,0.25917646288871765,0.5641293975891313,1.3481732606887817,1.2673105711974364
250,0.5465410947799683,0.29870715737342834,0.530417532862349,1.2777193784713745,1.4348023900074716
251,0.6478641033172607,0.4197279214859009,0.5583725074971273,1.4941655397415161,1.3927091621811314
252,0.44253063201904297,0.19583335518836975,0.2678606926956173,1.4461697340011597,1.0252688772813678
253,0.4622647762298584,0.21368873119354248,0.4971753326531254,1.651073932647705,1.06636879918787
254,0.46929678320884705,0.22023946046829224,0.3794706345215684,1.8659131526947021,1.142032800645176
255,0.5067934989929199,0.2568396329879761,0.3043700340525598,1.763687252998352,1.3483307598684446
