stratum_type,stratum_key,mask_fraction,n_mask_evaluations,n_unique_cells,visible_measured_genes_p05,visible_measured_genes_p25,visible_measured_genes_p50,visible_measured_genes_p75,visible_measured_genes_p95,visible_detected_genes_p05,visible_detected_genes_p25,visible_detected_genes_p50,visible_detected_genes_p75,visible_detected_genes_p95,fraction_detected_genes_retained_p05,fraction_detected_genes_retained_p25,fraction_detected_genes_retained_p50,fraction_detected_genes_retained_p75,fraction_detected_genes_retained_p95,fraction_transformed_signal_retained_p05,fraction_transformed_signal_retained_p25,fraction_transformed_signal_retained_p50,fraction_transformed_signal_retained_p75,fraction_transformed_signal_retained_p95,fraction_raw_vocab_count_mass_retained_p05,fraction_raw_vocab_count_mass_retained_p25,fraction_raw_vocab_count_mass_retained_p50,fraction_raw_vocab_count_mass_retained_p75,fraction_raw_vocab_count_mass_retained_p95,fraction_cells_below_100_visible_detected,fraction_cells_below_250_visible_detected,fraction_cells_below_500_visible_detected
source,NPH52,0.6,738,246,1639.0,1639.0,1639.0,1639.0,1639.0,251.85,504.75,762.0,1033.0,1475.15,0.3852782154785878,0.3950320355579976,0.40054281707535155,0.40543039908392214,0.41579858963256217,0.38166031438421527,0.39341594920439965,0.4002676882144736,0.40697646485838423,0.41755991165941625,0.34275512360936766,0.37223324891262455,0.3959198308003901,0.4253680391608681,0.46767361537663593,0.0,0.04742547425474255,0.24390243902439024
source,NPH52,0.7,738,246,1229.0,1229.0,1229.0,1229.0,1229.0,190.0,377.25,569.5,774.0,1103.4499999999998,0.2853703910927097,0.295382500896295,0.30016576329331046,0.3049230083855854,0.3149486918722317,0.28277296719980716,0.2940209122175788,0.29984718905488916,0.3057648389386947,0.3166753727236857,0.25129070857651054,0.27574608437075265,0.29217368058223103,0.3188896846838679,0.36776550960036825,0.0,0.09349593495934959,0.42140921409214094
source,SEA_AD,0.15,11499,3833,3482.0,3482.0,3482.0,3482.0,3482.0,696.9,1382.0,2058.0,2708.0,3199.0,0.8407771833603539,0.8472684426380799,0.8500291205591147,0.8528156996587031,0.859751184051915,0.8384574143148521,0.8456204227160068,0.8499613244902876,0.8544583108727902,0.8617083369486204,0.8046104634590011,0.8397702790025526,0.8543779371753648,0.865521297564547,0.8796726133001913,0.00026089225150013044,0.002261066179667797,0.02261066179667797
source,SEA_AD,0.25,11499,3833,3072.0,3072.0,3072.0,3072.0,3072.0,616.0,1220.0,1816.0,2388.0,2823.0,0.7385683226813627,0.7465569254391907,0.75,0.7533549862342346,0.7617755932369225,0.7356596222718876,0.7445725449604146,0.7499170368408763,0.7553574544404924,0.7643312637055693,0.694535744434362,0.7344218662729789,0.7543776416803243,0.7694434915566604,0.7895722570678645,0.00026089225150013044,0.0034785633533350726,0.030698321593182015
source,SEA_AD,0.4,11499,3833,2458.0,2458.0,2458.0,2458.0,2458.0,490.9,975.0,1453.0,1911.5,2260.0,0.5869852169870581,0.5962177963290579,0.600104821802935,0.6039652262569226,0.6132767331370449,0.5838343366492876,0.5939357042623452,0.6000468061814702,0.6062431334553202,0.6163654480813792,0.5421922804548968,0.5791087771100382,0.6022418478260869,0.6230199862906212,0.6496390809611293,0.00026089225150013044,0.008957300634837812,0.05270023480302635
source,SEA_AD,0.5,11499,3833,2048.0,2048.0,2048.0,2048.0,2048.0,409.0,813.0,1212.0,1593.0,1883.0,0.4865250353364458,0.49602284249547773,0.5,0.503915631370516,0.5133399651503514,0.4835205134773815,0.49360976965247033,0.499874903886554,0.5063062363217972,0.5166619090852124,0.444320156012226,0.4766937161230481,0.4995256667018025,0.5233077409329737,0.5535879460156353,0.0003478563353335073,0.014696930167840681,0.08470301765370902
source,SEA_AD,0.6,11499,3833,1639.0,1639.0,1639.0,1639.0,1639.0,325.9,651.5,970.0,1275.0,1508.0,0.3866972808968169,0.39617327856173845,0.4000702493853179,0.4039699811734632,0.41345465138196336,0.3839763892968342,0.39384336240512163,0.40004251127733903,0.40610871505972446,0.4165520859803907,0.3493272413845008,0.37693213685189864,0.39775010044194453,0.42141600746809715,0.455493410695416,0.0007826767545003914,0.026089225150013044,0.13940342638490302
source,SEA_AD,0.7,11499,3833,1229.0,1229.0,1229.0,1229.0,1229.0,245.0,488.0,727.0,955.0,1132.0,0.28770491803278686,0.29632063074901444,0.3000761614623001,0.3036529680365297,0.31240426409467303,0.28515019470999464,0.29432130818296776,0.299893913437789,0.3057981142326214,0.31496456988161575,0.2558535487165349,0.2788314747993559,0.29576951130561635,0.3173490809684192,0.35439279963093306,0.003217671101834942,0.05243934255152622,0.2613270719192973
broad_cell_class,Astro,0.15,108,36,3482.0,3482.0,3482.0,3482.0,3482.0,594.25,1493.25,1846.0,2201.75,2431.799999999999,0.839872995491471,0.8464810295926168,0.849994646777442,0.8539214023525992,0.8605807255065853,0.8371231115009319,0.8456920387743658,0.8508143261347336,0.8560677940346653,0.8636885884926294,0.7606281046933998,0.8458329382901169,0.8628525795701478,0.8741128146460547,0.8866155729719767,0.0,0.0,0.0
broad_cell_class,Astro,0.25,108,36,3072.0,3072.0,3072.0,3072.0,3072.0,525.95,1323.25,1630.0,1942.5,2140.699999999999,0.7378245751546787,0.7453830910187098,0.7502068851373718,0.756138341731562,0.762785157393731,0.7353218570846206,0.7455754546688305,0.7500302914526567,0.757044369566122,0.7665595096930423,0.6685357310086877,0.7461261225775957,0.7723318709040662,0.7846899060601533,0.8028105844610981,0.0,0.0,0.037037037037037035
